"Country Code","Country",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CHN,China,903068.2,906650.5,966840.7,1007571.9,1023705.9,1167281.7,1211172.8,1358350.8,1538312.5,1578453.0,1540963.3,1522346.1,1589420.3,1668518.8,1812931.4,1824720.0,1925246.4,2053738.6,2197488.7,2262228.5,2305424.7,2426041.7,2528134.1,2853847.2,3009377.1,3331159.1,3314136.5,3393693.3,3470353.2,3408824.0,3638654.0,3813308.5,4109790.6,4760740.4,5479756.5,6184507.5,6873123.3,7513990.0,7692704.0,8218732.0,8938638.0,9776472.0,9973353.0,10406788.0,10546277.0,10461742.0,10432751.4
COL,Colombia,32447.446,32725.891,33647.9,34659.655,37251.076,34881.105,37065.314,38058.64,39398.538,39603.35,40468.515,40995.599,41572.622,43622.495,44368.078,45929.028,46454.788,48442.99,49018.175,50589.144,51877.185,53559.729,55573.398,58790.322,58458.131,61159.994,60445.297,65524.715,66746.323,58537.258,60944.934,60588.607,58214.326,57737.134,57892.257,60138.11,58955.96,60622.817,61186.175,64358.312,63601.449,70800.391,69067.39,74394.137,76261.368,78324.404,77667.594
COM,Comoros (the),9.67413,9.661766,13.182405,11.699126,12.349111,15.507836,18.674711,20.77561,22.175767,25.476161,23.636555,25.400887,21.905161,22.558361,23.179041,21.884028,24.937635,31.584119,38.110231,38.782025,45.025352,47.228131,46.066501,45.365927,48.404415,53.549667,54.907864,61.798749,57.190335,58.58915,60.894321,67.403309,67.500102,68.319067,70.467804,69.971029,73.865889,83.86533,88.466826,87.06199,94.205499,98.241183,100.725521,100.891302,104.866466,105.696129,108.42245
COD,Congo (the Democratic Republic of the),2897.741,2927.3058,3010.8275,3028.676,3182.7088,3126.9789,3065.551,3175.9917,3198.1667,3540.8798,3501.3393,3743.8211,3002.053,3938.5057,3844.9057,3587.9673,3353.938,3688.4042,3828.6451,3636.4221,3319.3407,2795.9645,2529.0917,2383.5639,3177.2407,3159.4877,3254.6717,3261.2687,3268.4437,3092.2159,2576.4758,2506.689,2625.0312,3048.1377,2310.0407,2591.2037,2655.7724,2898.5485,2984.5653,2921.875,3064.7016,3497.0078,3408.2971,4860.2305,6292.99391,6326.38092,6564.77343
COG,Congo (the),1659.1127,1890.4817,1816.6845,7952.2994,11400.8881,7078.2143,6859.5411,2251.5557,1433.0444,1306.4148,1692.4995,1896.3662,2196.5486,2244.1273,2214.9806,2256.9998,2189.1908,2221.554,2199.3876,2216.0012,2155.5048,2166.1429,2138.2514,2121.9105,2024.8147,2394.937,2957.8858,3027.767,3600.0797,3673.0042,4022.1142,3920.7266,2562.7001,3202.7321,3266.6199,3895.9429,4344.9224,3843.8572,4029.0215,4478.3076,4851.7148,4481.3842,4326.3712,5281.87877,5122.30149,5128.49274,5212.30167
COK,Cook Islands (the),1.370552,1.348207,1.362153,1.315393,1.316446,1.412919,1.261268,1.273158,1.352326,1.362385,1.348355,1.373982,1.407469,1.405818,1.410406,1.132708,1.048808,1.182678,1.095845,1.065644,8.786769,11.809661,15.80697,16.465052,17.555587,12.361654,33.677818,25.167289,23.086225,27.487865,27.612847,24.336075,15.958988,15.859525,17.668991,23.669819,30.773435,25.806896,28.993579,27.800037,28.646843,28.722249,28.157449,30.720028,32.578093,34.847549,37.354199
CRI,Costa Rica,1412.3709,1415.1026,1589.0084,1807.2887,1773.3947,1948.998,2009.6611,2526.3827,2730.5449,2739.404,2464.4627,2276.8996,1930.6641,1957.853,2045.1823,2152.1567,2244.065,2374.5622,2504.822,2829.9363,2877.6025,3112.7266,4199.0914,4226.5733,4908.5715,4917.7867,4598.8851,4569.142,5080.8072,5080.5924,5037.054,5446.5155,5524.1212,5995.0639,6201.148,6571.3798,6791.8526,7607.6579,7532.3696,7240.3313,7191.0207,7407.4028,7545.0734,7828.1577,7866.1172,8152.5033,8328.89
CIV,Cote d'Ivoire,2604.7638,2655.8784,2953.2633,3037.5713,3119.0043,3388.2401,3873.3753,3838.0469,4444.8698,4143.7211,3939.3789,3604.6905,3426.6343,4038.2157,3597.2598,3295.8433,3384.4518,3279.0308,3245.1541,3122.1736,2858.3823,2947.6979,2931.0486,3101.4156,3260.8573,3544.3943,4442.0771,5406.2927,5248.5665,7032.3206,6633.4285,6658.3005,7068.0804,5562.3478,5887.4403,6298.077,6319.5259,6179.3346,6915.4541,6531.0319,7201.545,7000.869,7900.527,8541.881,9324.0165,9941.5218,10056.4917
HRV,Croatia,21359.763,20946.958,21435.159,22694.823,23512.243,23834.365,23450.519,23885.781,24819.971,27127.694,24373.604,23399.84,24573.178,25698.94,24433.278,25410.676,27396.676,25914.344,28256.72,28721.214,25150.734,17887.341,16452.244,16923.747,16239.123,16781.73,16688.57,18468.917,19634.871,19839.603,19332.691,20430.635,21229.131,22595.087,22664.563,22805.773,22989.612,24700.779,23380.581,21779.823,20865.505,20580.532,19391.109,18900.794,18325.524,18838.339,19408.194
CUB,Cuba,21644.827,21715.785,21278.88,23050.317,25012.259,25682.096,27181.736,29618.546,31722.592,32258.67,33098.556,33312.698,33119.165,35739.607,37525.003,35071.485,35686.086,37380.45,39208.807,40658.877,36923.524,28479.683,22767.383,20838.694,22335.581,23660.352,25648.764,28024.513,27566.684,28363.99,28745.201,27686.573,26442.118,25691.216,25200.3119,26040.1014,26526.789,27456.144,25941.301,33299.911,30757.5278,29337.489,29909.175,28817.789,28831.921,29895.4874,30389.116
